"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"61","Border Security and the Wall “thing” and Shutdown is not where Nancy Pelosi wanted to start her tenure as Speaker! Let’s make a deal?",FALSE,104391,NA,2019-01-01 19:02:36,FALSE,NA,"1080177487517233157",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20441,FALSE,FALSE,NA,NA
"62","Congratulations to President 
@JairBolsonaro who just made a great inauguration speech - the U.S.A. is with you!",FALSE,266728,NA,2019-01-01 18:12:08,FALSE,NA,"1080164786330132480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",60453,FALSE,FALSE,NA,NA
"63","One thing has now been proven. The Democrats do not care about Open Borders and all of the crime and drugs that Open Borders bring!",FALSE,119523,NA,2019-01-01 15:51:09,FALSE,NA,"1080129307446513666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27086,FALSE,FALSE,NA,NA
"64","“General” McChrystal got fired like a dog by Obama. Last assignment a total bust. Known for big, dumb mouth. Hillar… https://t.co/38VGaAi28T",FALSE,69384,NA,2019-01-01 15:32:30,TRUE,NA,"1080124615920373760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17065,FALSE,FALSE,NA,NA
"65","The Democrats, much as I suspected, have allocated no money for a new Wall. So imaginative! The problem is, without… https://t.co/89lVCLyMfi",FALSE,102139,NA,2019-01-01 14:32:01,TRUE,NA,"1080109395357380613",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21383,FALSE,FALSE,NA,NA
"66","Happy New Year!",FALSE,279197,NA,2019-01-01 14:25:32,FALSE,NA,"1080107759755034624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",40894,FALSE,FALSE,NA,NA
"67","HAPPY NEW YEAR TO EVERYONE, INCLUDING THE HATERS AND THE FAKE NEWS MEDIA! 2019 WILL BE A FANTASTIC YEAR FOR THOSE N… https://t.co/wmZjFspKkb",FALSE,257015,NA,2019-01-01 13:08:29,TRUE,NA,"1080088373451206656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",59798,FALSE,FALSE,NA,NA
"68","Dr. Sebastian Gorka, a very good and talented guy, has a great new book just out, “Why We Fight.” Lots of insight - Enjoy!",FALSE,76795,NA,2019-01-01 12:51:34,FALSE,NA,"1080084113762197504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14181,FALSE,FALSE,NA,NA
"69","...Remember this. Throughout the ages some things NEVER get better and NEVER change. You have Walls and you have Wh… https://t.co/ed5j8ULKNa",FALSE,135673,NA,2019-01-01 01:05:39,TRUE,NA,"1079906462753869825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28821,FALSE,FALSE,NA,NA
"70","The Democrats will probably submit a Bill, being cute as always, which gives everything away but gives NOTHING to B… https://t.co/stwYPbVQgY",FALSE,99553,NA,2019-01-01 00:51:43,TRUE,NA,"1079902957938925568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23129,FALSE,FALSE,NA,NA
